date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:26	1653/1653	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222a1d626aed061d524af14636c345a3f3%22	https://fbinsta-support-services.vercel.app/globalnav/links/watch/image_small.svg	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/watch/image_small.svg	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:26	767/767	---M--	200	added ('OK')	text/html	etag:%22b2fca518621ab7e0001261b038c1e79b%22	https://fbinsta-support-services.vercel.app/globalnav/links/tv/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/tv/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:27	632/632	---M--	200	added ('OK')	image/svg+xml	etag:%222a3951f9b250cc56136cce45371638e0%22	https://fbinsta-support-services.vercel.app/globalnav/links/tv/image_small.svg	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/tv/image_small.svg	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:27	773/773	---M--	200	added ('OK')	text/html	etag:%2279452b1ccd6924f18330476d20523aa0%22	https://fbinsta-support-services.vercel.app/globalnav/links/music/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/music/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:28	1556/1556	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f7df20b526fd37c39c6b8a88b676c35e%22	https://fbinsta-support-services.vercel.app/globalnav/links/music/image_small.svg	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/music/image_small.svg	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:28	777/777	---M--	200	added ('OK')	text/html	etag:%22e76fdc8445ecc13bdf24dcbd902795f0%22	https://fbinsta-support-services.vercel.app/globalnav/links/support/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/support/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:29	2308/2308	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e86b0b8079d375c697a4463e30cd1480%22	https://fbinsta-support-services.vercel.app/globalnav/links/support/image_small.svg	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/links/support/image_small.svg	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:29	763/763	---M--	200	added ('OK')	text/html	etag:%22cbfde2bfa33daa9b9b2c2388ab9daa70%22	https://fbinsta-support-services.vercel.app/globalnav/search/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/search/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:30	763/763	---M--	200	added ('OK')	text/html	etag:%220a169b0f48da812b85985a65ed55a929%22	https://fbinsta-support-services.vercel.app/globalnav/search/image_small.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/search/image_small.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:30	757/757	---M--	200	added ('OK')	text/html	etag:%229e8018a7761cbc481af86c5fb2b24a69%22	https://fbinsta-support-services.vercel.app/globalnav/bag/image_large.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/bag/image_large.html	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:31	898/898	---M--	200	added ('OK')	image/svg+xml	etag:%224dc220ff2f9395c2cd7c34de8776a6e7%22	https://fbinsta-support-services.vercel.app/globalnav/bag/image_small.svg	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/bag/image_small.svg	(from https://fbinsta-support-services.vercel.app/Base.css)
19:48:31	773/773	---M--	200	added ('OK')	text/html	etag:%22e9d82a803c490c665076bcf1548a4816%22	https://fbinsta-support-services.vercel.app/globalnav/search/icon_reset_small.html	C:/Users/user/Desktop/fbb/FB/fbinsta-support-services.vercel.app/globalnav/search/icon_reset_small.html	(from https://fbinsta-support-services.vercel.app/Base.css)
